Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
0500000US18161,18161,"Union County, Indiana",22918,1490
0500000US18163,18163,"Vanderburgh County, Indiana",25666,752
0500000US18165,18165,"Vermillion County, Indiana",22932,1589
0500000US18167,18167,"Vigo County, Indiana",22079,803
0500000US18169,18169,"Wabash County, Indiana",23745,1036
0500000US18171,18171,"Warren County, Indiana",28690,2261
0500000US18173,18173,"Warrick County, Indiana",31021,1219
0500000US18175,18175,"Washington County, Indiana",22096,1101
0500000US18177,18177,"Wayne County, Indiana",22227,755
0500000US18179,18179,"Wells County, Indiana",24544,879
0500000US18181,18181,"White County, Indiana",25859,1147
0500000US18183,18183,"Whitley County, Indiana",27062,1192
0500000US19001,19001,"Adair County, Iowa",27358,1555
0500000US19003,19003,"Adams County, Iowa",26991,1779
0500000US19005,19005,"Allamakee County, Iowa",27027,1301
0500000US19007,19007,"Appanoose County, Iowa",23617,1854
0500000US19009,19009,"Audubon County, Iowa",30085,2698
0500000US19011,19011,"Benton County, Iowa",30888,1742
0500000US19013,19013,"Black Hawk County, Iowa",26571,563
0500000US19015,19015,"Boone County, Iowa",28412,1154
0500000US19017,19017,"Bremer County, Iowa",31001,1094
0500000US19019,19019,"Buchanan County, Iowa",30216,2792
0500000US19021,19021,"Buena Vista County, Iowa",25035,1452
0500000US19023,19023,"Butler County, Iowa",27085,1585
0500000US19025,19025,"Calhoun County, Iowa",26210,1282
0500000US19027,19027,"Carroll County, Iowa",28307,1042
0500000US19029,19029,"Cass County, Iowa",26411,1611
0500000US19031,19031,"Cedar County, Iowa",29271,1079
0500000US19033,19033,"Cerro Gordo County, Iowa",28763,1148
0500000US19035,19035,"Cherokee County, Iowa",28783,1651
0500000US19037,19037,"Chickasaw County, Iowa",26915,1678
0500000US19039,19039,"Clarke County, Iowa",23742,1268
0500000US19041,19041,"Clay County, Iowa",27883,1947
0500000US19043,19043,"Clayton County, Iowa",26960,1384
0500000US19045,19045,"Clinton County, Iowa",27116,817
0500000US19047,19047,"Crawford County, Iowa",26693,3882
0500000US19049,19049,"Dallas County, Iowa",40468,1485
0500000US19051,19051,"Davis County, Iowa",24405,1946
0500000US19053,19053,"Decatur County, Iowa",20808,1156
0500000US19055,19055,"Delaware County, Iowa",29978,3259
0500000US19057,19057,"Des Moines County, Iowa",25151,947
0500000US19059,19059,"Dickinson County, Iowa",36042,1758
0500000US19061,19061,"Dubuque County, Iowa",28526,743
0500000US19063,19063,"Emmet County, Iowa",27807,2497
0500000US19065,19065,"Fayette County, Iowa",26002,1347
0500000US19067,19067,"Floyd County, Iowa",26929,1756
0500000US19069,19069,"Franklin County, Iowa",24909,1636
0500000US19071,19071,"Fremont County, Iowa",29553,2123
0500000US19073,19073,"Greene County, Iowa",26103,1247
0500000US19075,19075,"Grundy County, Iowa",32953,1722
0500000US19077,19077,"Guthrie County, Iowa",29938,1970
0500000US19079,19079,"Hamilton County, Iowa",28076,2172
0500000US19081,19081,"Hancock County, Iowa",27732,1578
0500000US19083,19083,"Hardin County, Iowa",27657,1392
0500000US19085,19085,"Harrison County, Iowa",27984,926
0500000US19087,19087,"Henry County, Iowa",24380,1312
0500000US19089,19089,"Howard County, Iowa",25567,1635
0500000US19091,19091,"Humboldt County, Iowa",28654,1745
0500000US19093,19093,"Ida County, Iowa",29750,2395
0500000US19095,19095,"Iowa County, Iowa",28640,1371
0500000US19097,19097,"Jackson County, Iowa",25865,993
0500000US19099,19099,"Jasper County, Iowa",26507,956
0500000US19101,19101,"Jefferson County, Iowa",25120,2425
0500000US19103,19103,"Johnson County, Iowa",31981,1067
0500000US19105,19105,"Jones County, Iowa",27891,1670
0500000US19107,19107,"Keokuk County, Iowa",24650,1252
0500000US19109,19109,"Kossuth County, Iowa",29086,988
0500000US19111,19111,"Lee County, Iowa",23470,688
0500000US19113,19113,"Linn County, Iowa",31854,681
0500000US19115,19115,"Louisa County, Iowa",26093,1557
0500000US19117,19117,"Lucas County, Iowa",26119,1935
0500000US19119,19119,"Lyon County, Iowa",27874,1459
0500000US19121,19121,"Madison County, Iowa",29430,1660
0500000US19123,19123,"Mahaska County, Iowa",25823,1488
0500000US19125,19125,"Marion County, Iowa",27020,1205
0500000US19127,19127,"Marshall County, Iowa",25197,812
0500000US19129,19129,"Mills County, Iowa",29492,1227
0500000US19131,19131,"Mitchell County, Iowa",25990,1210
0500000US19133,19133,"Monona County, Iowa",26394,1493
0500000US19135,19135,"Monroe County, Iowa",25233,2378
0500000US19137,19137,"Montgomery County, Iowa",23626,1055
0500000US19139,19139,"Muscatine County, Iowa",27029,1389
0500000US19141,19141,"O'Brien County, Iowa",30933,2370
0500000US19143,19143,"Osceola County, Iowa",25936,1608
0500000US19145,19145,"Page County, Iowa",25461,1750
0500000US19147,19147,"Palo Alto County, Iowa",26776,1555
0500000US19149,19149,"Plymouth County, Iowa",28975,993
0500000US19151,19151,"Pocahontas County, Iowa",27599,1400
0500000US19153,19153,"Polk County, Iowa",32232,581
0500000US19155,19155,"Pottawattamie County, Iowa",27948,810
0500000US19157,19157,"Poweshiek County, Iowa",26583,1439
0500000US19159,19159,"Ringgold County, Iowa",26175,2102
0500000US19161,19161,"Sac County, Iowa",27088,1054
0500000US19163,19163,"Scott County, Iowa",30037,597
0500000US19165,19165,"Shelby County, Iowa",28178,1603
0500000US19167,19167,"Sioux County, Iowa",27037,1090
0500000US19169,19169,"Story County, Iowa",26032,661
0500000US19171,19171,"Tama County, Iowa",26144,1038
0500000US19173,19173,"Taylor County, Iowa",26188,1884
0500000US19175,19175,"Union County, Iowa",25140,1213
0500000US19177,19177,"Van Buren County, Iowa",23765,1480
0500000US19179,19179,"Wapello County, Iowa",23116,1040
0500000US19181,19181,"Warren County, Iowa",31525,1027
0500000US19183,19183,"Washington County, Iowa",27933,1444
0500000US19185,19185,"Wayne County, Iowa",22461,1269
0500000US19187,19187,"Webster County, Iowa",23921,807
0500000US19189,19189,"Winnebago County, Iowa",25917,1647
0500000US19191,19191,"Winneshiek County, Iowa",27240,969
0500000US19193,19193,"Woodbury County, Iowa",24469,806
0500000US19195,19195,"Worth County, Iowa",25661,1337
0500000US19197,19197,"Wright County, Iowa",27111,1194
0500000US20001,20001,"Allen County, Kansas",21577,1064
0500000US20003,20003,"Anderson County, Kansas",21851,1535
0500000US20005,20005,"Atchison County, Kansas",23151,2221
0500000US20007,20007,"Barber County, Kansas",26040,2002
0500000US20009,20009,"Barton County, Kansas",25474,1220
0500000US20011,20011,"Bourbon County, Kansas",21158,1234
0500000US20013,20013,"Brown County, Kansas",23247,1283
0500000US20015,20015,"Butler County, Kansas",27888,820
0500000US20017,20017,"Chase County, Kansas",24353,1936
0500000US20019,20019,"Chautauqua County, Kansas",23398,1995
0500000US20021,20021,"Cherokee County, Kansas",20371,1003
0500000US20023,20023,"Cheyenne County, Kansas",27608,2134
0500000US20025,20025,"Clark County, Kansas",24322,2435
0500000US20027,20027,"Clay County, Kansas",27715,2524
0500000US20029,20029,"Cloud County, Kansas",24677,3633
0500000US20031,20031,"Coffey County, Kansas",30242,1681
0500000US20033,20033,"Comanche County, Kansas",24574,2255
0500000US20035,20035,"Cowley County, Kansas",22249,721
0500000US20037,20037,"Crawford County, Kansas",20642,846
0500000US20039,20039,"Decatur County, Kansas",29729,3854
0500000US20041,20041,"Dickinson County, Kansas",24454,1142
0500000US20043,20043,"Doniphan County, Kansas",23986,956
0500000US20045,20045,"Douglas County, Kansas",28302,1017
0500000US20047,20047,"Edwards County, Kansas",26567,1761
0500000US20049,20049,"Elk County, Kansas",22040,1610
0500000US20051,20051,"Ellis County, Kansas",27103,1471
0500000US20053,20053,"Ellsworth County, Kansas",23851,1532
0500000US20055,20055,"Finney County, Kansas",22551,1038
0500000US20057,20057,"Ford County, Kansas",20749,1037
0500000US20059,20059,"Franklin County, Kansas",24597,1215
0500000US20061,20061,"Geary County, Kansas",21309,1126
0500000US20063,20063,"Gove County, Kansas",26746,2614
0500000US20065,20065,"Graham County, Kansas",27569,2949
0500000US20067,20067,"Grant County, Kansas",24173,2913
0500000US20069,20069,"Gray County, Kansas",26536,1261
0500000US20071,20071,"Greeley County, Kansas",26040,2955
0500000US20073,20073,"Greenwood County, Kansas",23972,2090
0500000US20075,20075,"Hamilton County, Kansas",21863,2514
0500000US20077,20077,"Harper County, Kansas",25944,1699
0500000US20079,20079,"Harvey County, Kansas",25320,987
0500000US20081,20081,"Haskell County, Kansas",22886,1668
0500000US20083,20083,"Hodgeman County, Kansas",33661,5921
0500000US20085,20085,"Jackson County, Kansas",26027,1488
0500000US20087,20087,"Jefferson County, Kansas",26328,943
0500000US20089,20089,"Jewell County, Kansas",23282,2239
0500000US20091,20091,"Johnson County, Kansas",41415,581
0500000US20093,20093,"Kearny County, Kansas",23213,2229
0500000US20095,20095,"Kingman County, Kansas",28911,2091
0500000US20097,20097,"Kiowa County, Kansas",24895,1987
0500000US20099,20099,"Labette County, Kansas",21648,836
0500000US20101,20101,"Lane County, Kansas",31329,2665
0500000US20103,20103,"Leavenworth County, Kansas",28743,1110
0500000US20105,20105,"Lincoln County, Kansas",25070,2035
0500000US20107,20107,"Linn County, Kansas",27368,3583
0500000US20109,20109,"Logan County, Kansas",27837,2971
0500000US20111,20111,"Lyon County, Kansas",23317,2144
0500000US20113,20113,"McPherson County, Kansas",28722,985
0500000US20115,20115,"Marion County, Kansas",24234,1165
0500000US20117,20117,"Marshall County, Kansas",26978,1282
0500000US20119,20119,"Meade County, Kansas",24253,1322
0500000US20121,20121,"Miami County, Kansas",30184,1281
0500000US20123,20123,"Mitchell County, Kansas",27432,2283
0500000US20125,20125,"Montgomery County, Kansas",22181,1008
0500000US20127,20127,"Morris County, Kansas",25135,1462
0500000US20129,20129,"Morton County, Kansas",23115,2737
0500000US20131,20131,"Nemaha County, Kansas",26208,1438
0500000US20133,20133,"Neosho County, Kansas",22759,1471
0500000US20135,20135,"Ness County, Kansas",28184,2376
0500000US20137,20137,"Norton County, Kansas",23039,1789
0500000US20139,20139,"Osage County, Kansas",25880,1429
0500000US20141,20141,"Osborne County, Kansas",27824,2331
0500000US20143,20143,"Ottawa County, Kansas",26749,1676
0500000US20145,20145,"Pawnee County, Kansas",25193,3270
0500000US20147,20147,"Phillips County, Kansas",25364,1657
0500000US20149,20149,"Pottawatomie County, Kansas",27199,1508
0500000US20151,20151,"Pratt County, Kansas",25745,1798
0500000US20153,20153,"Rawlins County, Kansas",27250,1912
0500000US20155,20155,"Reno County, Kansas",24313,796
0500000US20157,20157,"Republic County, Kansas",26029,1605
0500000US20159,20159,"Rice County, Kansas",22596,1197
0500000US20161,20161,"Riley County, Kansas",25087,957
0500000US20163,20163,"Rooks County, Kansas",24919,1424
0500000US20165,20165,"Rush County, Kansas",25002,1376
0500000US20167,20167,"Russell County, Kansas",24181,1884
0500000US20169,20169,"Saline County, Kansas",26477,1077
0500000US20171,20171,"Scott County, Kansas",31280,2956
0500000US20173,20173,"Sedgwick County, Kansas",26672,352
0500000US20175,20175,"Seward County, Kansas",20844,1120
0500000US20177,20177,"Shawnee County, Kansas",27534,602
0500000US20179,20179,"Sheridan County, Kansas",29604,2536
0500000US20181,20181,"Sherman County, Kansas",24494,2264
0500000US20183,20183,"Smith County, Kansas",27870,2396
0500000US20185,20185,"Stafford County, Kansas",25046,1760
0500000US20187,20187,"Stanton County, Kansas",22383,2283
0500000US20189,20189,"Stevens County, Kansas",23579,2169
0500000US20191,20191,"Sumner County, Kansas",24764,886
0500000US20193,20193,"Thomas County, Kansas",26241,2297
0500000US20195,20195,"Trego County, Kansas",29651,2682
0500000US20197,20197,"Wabaunsee County, Kansas",25194,1333
0500000US20199,20199,"Wallace County, Kansas",28875,4650
0500000US20201,20201,"Washington County, Kansas",24241,1149
0500000US20203,20203,"Wichita County, Kansas",26194,3026
0500000US20205,20205,"Wilson County, Kansas",23869,1370
0500000US20207,20207,"Woodson County, Kansas",20499,1508
0500000US20209,20209,"Wyandotte County, Kansas",19282,308
0500000US21001,21001,"Adair County, Kentucky",18463,952
0500000US21003,21003,"Allen County, Kentucky",20607,1213
0500000US21005,21005,"Anderson County, Kentucky",24891,1331
0500000US21007,21007,"Ballard County, Kentucky",24459,1368
0500000US21009,21009,"Barren County, Kentucky",20130,673
0500000US21011,21011,"Bath County, Kentucky",19590,2813
0500000US21013,21013,"Bell County, Kentucky",13654,685
0500000US21015,21015,"Boone County, Kentucky",31593,944
0500000US21017,21017,"Bourbon County, Kentucky",24433,1242
0500000US21019,21019,"Boyd County, Kentucky",25939,2799
0500000US21021,21021,"Boyle County, Kentucky",23276,1344
0500000US21023,21023,"Bracken County, Kentucky",21569,1806
0500000US21025,21025,"Breathitt County, Kentucky",15798,1064
0500000US21027,21027,"Breckinridge County, Kentucky",19984,1028
0500000US21029,21029,"Bullitt County, Kentucky",25805,781
0500000US21031,21031,"Butler County, Kentucky",20591,1211
0500000US21033,21033,"Caldwell County, Kentucky",23308,2541
0500000US21035,21035,"Calloway County, Kentucky",21109,1075
0500000US21037,21037,"Campbell County, Kentucky",29834,802
0500000US21039,21039,"Carlisle County, Kentucky",23456,1463
0500000US21041,21041,"Carroll County, Kentucky",21639,1607
0500000US21043,21043,"Carter County, Kentucky",19170,1007
0500000US21045,21045,"Casey County, Kentucky",18146,1188
0500000US21047,21047,"Christian County, Kentucky",19962,881
0500000US21049,21049,"Clark County, Kentucky",25674,1339
0500000US21051,21051,"Clay County, Kentucky",14255,1080
0500000US21053,21053,"Clinton County, Kentucky",18444,2357
0500000US21055,21055,"Crittenden County, Kentucky",21735,1878
0500000US21057,21057,"Cumberland County, Kentucky",18362,2035
0500000US21059,21059,"Daviess County, Kentucky",25026,656
0500000US21061,21061,"Edmonson County, Kentucky",20194,1634
0500000US21063,21063,"Elliott County, Kentucky",14218,1626
0500000US21065,21065,"Estill County, Kentucky",16763,1130
0500000US21067,21067,"Fayette County, Kentucky",30502,612
0500000US21069,21069,"Fleming County, Kentucky",22222,2460
0500000US21071,21071,"Floyd County, Kentucky",18345,1454
0500000US21073,21073,"Franklin County, Kentucky",27252,989
0500000US21075,21075,"Fulton County, Kentucky",18067,1504
0500000US21077,21077,"Gallatin County, Kentucky",21452,1175
0500000US21079,21079,"Garrard County, Kentucky",23796,1908
0500000US21081,21081,"Grant County, Kentucky",19395,1123
0500000US21083,21083,"Graves County, Kentucky",21277,1260
0500000US21085,21085,"Grayson County, Kentucky",20783,2107
0500000US21087,21087,"Green County, Kentucky",20974,1951
0500000US21089,21089,"Greenup County, Kentucky",24446,1074
0500000US21091,21091,"Hancock County, Kentucky",22041,1247
0500000US21093,21093,"Hardin County, Kentucky",25561,687
0500000US21095,21095,"Harlan County, Kentucky",16080,806
0500000US21097,21097,"Harrison County, Kentucky",22024,1492
0500000US21099,21099,"Hart County, Kentucky",19566,1907
0500000US21101,21101,"Henderson County, Kentucky",23752,1196
0500000US21103,21103,"Henry County, Kentucky",22499,1016
0500000US21105,21105,"Hickman County, Kentucky",18416,1840
0500000US21107,21107,"Hopkins County, Kentucky",22672,808
0500000US21109,21109,"Jackson County, Kentucky",16713,1617
0500000US21111,21111,"Jefferson County, Kentucky",29758,357
0500000US21113,21113,"Jessamine County, Kentucky",27409,1504
0500000US21115,21115,"Johnson County, Kentucky",18290,1162
0500000US21117,21117,"Kenton County, Kentucky",28785,590
0500000US21119,21119,"Knott County, Kentucky",17761,1285
0500000US21121,21121,"Knox County, Kentucky",15479,1288
0500000US21123,21123,"Larue County, Kentucky",21204,1493
0500000US21125,21125,"Laurel County, Kentucky",19383,771
0500000US21127,21127,"Lawrence County, Kentucky",18410,1147
0500000US21129,21129,"Lee County, Kentucky",13873,2035
0500000US21131,21131,"Leslie County, Kentucky",14653,1655
0500000US21133,21133,"Letcher County, Kentucky",17181,1118
0500000US21135,21135,"Lewis County, Kentucky",17753,1524
0500000US21137,21137,"Lincoln County, Kentucky",18720,1121
0500000US21139,21139,"Livingston County, Kentucky",24203,2670
0500000US21141,21141,"Logan County, Kentucky",20385,1182
0500000US21143,21143,"Lyon County, Kentucky",26105,2191
0500000US21145,21145,"McCracken County, Kentucky",28926,1647
0500000US21147,21147,"McCreary County, Kentucky",11114,937
0500000US21149,21149,"McLean County, Kentucky",21623,1418
0500000US21151,21151,"Madison County, Kentucky",22271,657
0500000US21153,21153,"Magoffin County, Kentucky",15710,1089
0500000US21155,21155,"Marion County, Kentucky",20450,1459
0500000US21157,21157,"Marshall County, Kentucky",25138,1198
0500000US21159,21159,"Martin County, Kentucky",14938,1430
0500000US21161,21161,"Mason County, Kentucky",24124,2029
0500000US21163,21163,"Meade County, Kentucky",24018,1961
0500000US21165,21165,"Menifee County, Kentucky",18995,1342
0500000US21167,21167,"Mercer County, Kentucky",24079,1109
0500000US21169,21169,"Metcalfe County, Kentucky",18141,1301
0500000US21171,21171,"Monroe County, Kentucky",19969,1752
0500000US21173,21173,"Montgomery County, Kentucky",20437,1043
0500000US21175,21175,"Morgan County, Kentucky",16780,1364
0500000US21177,21177,"Muhlenberg County, Kentucky",19934,817
0500000US21179,21179,"Nelson County, Kentucky",26353,1958
0500000US21181,21181,"Nicholas County, Kentucky",22438,2862
0500000US21183,21183,"Ohio County, Kentucky",19963,1769
0500000US21185,21185,"Oldham County, Kentucky",35795,1386
0500000US21187,21187,"Owen County, Kentucky",22151,2859
0500000US21189,21189,"Owsley County, Kentucky",16533,2119
0500000US21191,21191,"Pendleton County, Kentucky",23578,1787
0500000US21193,21193,"Perry County, Kentucky",19697,1704
0500000US21195,21195,"Pike County, Kentucky",20128,704
0500000US21197,21197,"Powell County, Kentucky",18158,1800
0500000US21199,21199,"Pulaski County, Kentucky",21083,1183
0500000US21201,21201,"Robertson County, Kentucky",22702,3628
0500000US21203,21203,"Rockcastle County, Kentucky",17930,1174
0500000US21205,21205,"Rowan County, Kentucky",18743,1292
0500000US21207,21207,"Russell County, Kentucky",17702,1026
0500000US21209,21209,"Scott County, Kentucky",29345,1254
0500000US21211,21211,"Shelby County, Kentucky",28502,1024
0500000US21213,21213,"Simpson County, Kentucky",21122,1070
0500000US21215,21215,"Spencer County, Kentucky",27227,1350
0500000US21217,21217,"Taylor County, Kentucky",18613,1098
0500000US21219,21219,"Todd County, Kentucky",19165,1186
0500000US21221,21221,"Trigg County, Kentucky",26068,2369
0500000US21223,21223,"Trimble County, Kentucky",24515,2287
0500000US21225,21225,"Union County, Kentucky",21063,1009
0500000US21227,21227,"Warren County, Kentucky",24060,803
0500000US21229,21229,"Washington County, Kentucky",20834,1011
0500000US21231,21231,"Wayne County, Kentucky",16104,1102
0500000US21233,21233,"Webster County, Kentucky",20117,1354
0500000US21235,21235,"Whitley County, Kentucky",17520,1458
0500000US21237,21237,"Wolfe County, Kentucky",14274,1840
0500000US21239,21239,"Woodford County, Kentucky",30786,1827
0500000US22001,22001,"Acadia Parish, Louisiana",20887,785
0500000US22003,22003,"Allen Parish, Louisiana",20296,1827
0500000US22005,22005,"Ascension Parish, Louisiana",30094,969
0500000US22007,22007,"Assumption Parish, Louisiana",24207,1568
0500000US22009,22009,"Avoyelles Parish, Louisiana",19595,992
0500000US22011,22011,"Beauregard Parish, Louisiana",23141,1347
0500000US22013,22013,"Bienville Parish, Louisiana",22123,1745
0500000US22015,22015,"Bossier Parish, Louisiana",27210,816
0500000US22017,22017,"Caddo Parish, Louisiana",25206,665
0500000US22019,22019,"Calcasieu Parish, Louisiana",25249,560
0500000US22021,22021,"Caldwell Parish, Louisiana",19774,2130
0500000US22023,22023,"Cameron Parish, Louisiana",31007,2703
0500000US22025,22025,"Catahoula Parish, Louisiana",21870,1889
0500000US22027,22027,"Claiborne Parish, Louisiana",16417,1203
0500000US22029,22029,"Concordia Parish, Louisiana",17110,1317
0500000US22031,22031,"De Soto Parish, Louisiana",23284,1323
0500000US22033,22033,"East Baton Rouge Parish, Louisiana",29146,451
0500000US22035,22035,"East Carroll Parish, Louisiana",11133,2060
0500000US22037,22037,"East Feliciana Parish, Louisiana",21850,1450
0500000US22039,22039,"Evangeline Parish, Louisiana",18440,1109
0500000US22041,22041,"Franklin Parish, Louisiana",18178,968
0500000US22043,22043,"Grant Parish, Louisiana",18376,956
0500000US22045,22045,"Iberia Parish, Louisiana",23737,1599
0500000US22047,22047,"Iberville Parish, Louisiana",22397,1532
0500000US22049,22049,"Jackson Parish, Louisiana",19293,1013
0500000US22051,22051,"Jefferson Parish, Louisiana",28067,465
0500000US22053,22053,"Jefferson Davis Parish, Louisiana",22665,1234
0500000US22055,22055,"Lafayette Parish, Louisiana",30403,822
0500000US22057,22057,"Lafourche Parish, Louisiana",25299,764
0500000US22059,22059,"LaSalle Parish, Louisiana",19434,1615
0500000US22061,22061,"Lincoln Parish, Louisiana",21452,1155
0500000US22063,22063,"Livingston Parish, Louisiana",26558,932
0500000US22065,22065,"Madison Parish, Louisiana",14564,1000
0500000US22067,22067,"Morehouse Parish, Louisiana",18222,1651
0500000US22069,22069,"Natchitoches Parish, Louisiana",19178,988
0500000US22071,22071,"Orleans Parish, Louisiana",28444,475
0500000US22073,22073,"Ouachita Parish, Louisiana",21866,531
0500000US22075,22075,"Plaquemines Parish, Louisiana",25359,1674
0500000US22077,22077,"Pointe Coupee Parish, Louisiana",25670,1901
0500000US22079,22079,"Rapides Parish, Louisiana",22904,789
0500000US22081,22081,"Red River Parish, Louisiana",23748,3364
0500000US22083,22083,"Richland Parish, Louisiana",19347,1075
0500000US22085,22085,"Sabine Parish, Louisiana",22725,1165
0500000US22087,22087,"St. Bernard Parish, Louisiana",19990,568
0500000US22089,22089,"St. Charles Parish, Louisiana",28146,1026
0500000US22091,22091,"St. Helena Parish, Louisiana",19134,2567
0500000US22093,22093,"St. James Parish, Louisiana",25275,1283
0500000US22095,22095,"St. John the Baptist Parish, Louisiana",22775,1073
0500000US22097,22097,"St. Landry Parish, Louisiana",19008,825
0500000US22099,22099,"St. Martin Parish, Louisiana",23597,1142
0500000US22101,22101,"St. Mary Parish, Louisiana",21989,669
0500000US22103,22103,"St. Tammany Parish, Louisiana",31792,643
0500000US22105,22105,"Tangipahoa Parish, Louisiana",22554,715
0500000US22107,22107,"Tensas Parish, Louisiana",16171,1807
0500000US22109,22109,"Terrebonne Parish, Louisiana",24069,887
0500000US22111,22111,"Union Parish, Louisiana",20090,1005
0500000US22113,22113,"Vermilion Parish, Louisiana",23521,950
0500000US22115,22115,"Vernon Parish, Louisiana",22297,889
0500000US22117,22117,"Washington Parish, Louisiana",17957,834
0500000US22119,22119,"Webster Parish, Louisiana",19512,1073
0500000US22121,22121,"West Baton Rouge Parish, Louisiana",27245,2099
0500000US22123,22123,"West Carroll Parish, Louisiana",21459,2629
0500000US22125,22125,"West Feliciana Parish, Louisiana",22335,1948
0500000US22127,22127,"Winn Parish, Louisiana",18358,1139
0500000US23001,23001,"Androscoggin County, Maine",25788,776
0500000US23003,23003,"Aroostook County, Maine",22483,611
0500000US23005,23005,"Cumberland County, Maine",35066,689
0500000US23007,23007,"Franklin County, Maine",23596,957
0500000US23009,23009,"Hancock County, Maine",30042,1108
0500000US23011,23011,"Kennebec County, Maine",26418,543
0500000US23013,23013,"Knox County, Maine",28413,954
0500000US23015,23015,"Lincoln County, Maine",30022,1086
0500000US23017,23017,"Oxford County, Maine",21674,594
0500000US23019,23019,"Penobscot County, Maine",25035,547
0500000US23021,23021,"Piscataquis County, Maine",22398,888
0500000US23023,23023,"Sagadahoc County, Maine",31085,1324
0500000US23025,23025,"Somerset County, Maine",21961,682
0500000US23027,23027,"Waldo County, Maine",25270,863
0500000US23029,23029,"Washington County, Maine",23113,1176
0500000US23031,23031,"York County, Maine",31574,782
0500000US24001,24001,"Allegany County, Maryland",22029,696
0500000US24003,24003,"Anne Arundel County, Maryland",42382,589
0500000US24005,24005,"Baltimore County, Maryland",35777,379
0500000US24009,24009,"Calvert County, Maryland",39897,1051
0500000US24011,24011,"Caroline County, Maryland",24311,848
0500000US24013,24013,"Carroll County, Maryland",38408,952
0500000US24015,24015,"Cecil County, Maryland",30676,786
0500000US24017,24017,"Charles County, Maryland",37680,699
0500000US24019,24019,"Dorchester County, Maryland",28055,1689
0500000US24021,24021,"Frederick County, Maryland",38280,527
0500000US24023,24023,"Garrett County, Maryland",25096,1038
0500000US24025,24025,"Harford County, Maryland",36411,601
0500000US24027,24027,"Howard County, Maryland",49667,753
0500000US24029,24029,"Kent County, Maryland",30080,1788
0500000US24031,24031,"Montgomery County, Maryland",49906,398
0500000US24033,24033,"Prince George's County, Maryland",33220,246
0500000US24035,24035,"Queen Anne's County, Maryland",39593,1400
0500000US24037,24037,"St. Mary's County, Maryland",36814,1000
0500000US24039,24039,"Somerset County, Maryland",17143,1973
0500000US24041,24041,"Talbot County, Maryland",40533,1893
0500000US24043,24043,"Washington County, Maryland",27586,679
0500000US24045,24045,"Wicomico County, Maryland",26498,972
0500000US24047,24047,"Worcester County, Maryland",32988,1193
0500000US24510,24510,"Baltimore city, Maryland",27129,368
0500000US25001,25001,"Barnstable County, Massachusetts",39104,813
0500000US25003,25003,"Berkshire County, Massachusetts",31417,753
0500000US25005,25005,"Bristol County, Massachusetts",30525,381
0500000US25007,25007,"Dukes County, Massachusetts",40051,5064
0500000US25009,25009,"Essex County, Massachusetts",37210,450
0500000US25011,25011,"Franklin County, Massachusetts",31689,989
0500000US25013,25013,"Hampden County, Massachusetts",27057,347
0500000US25015,25015,"Hampshire County, Massachusetts",31051,853
0500000US25017,25017,"Middlesex County, Massachusetts",45579,357
0500000US25019,25019,"Nantucket County, Massachusetts",46009,4070
0500000US25021,25021,"Norfolk County, Massachusetts",47306,564
0500000US25023,25023,"Plymouth County, Massachusetts",37188,551
0500000US25025,25025,"Suffolk County, Massachusetts",35844,526
0500000US25027,25027,"Worcester County, Massachusetts",33272,295
0500000US26001,26001,"Alcona County, Michigan",23380,964
0500000US26003,26003,"Alger County, Michigan",20993,1369
0500000US26005,26005,"Allegan County, Michigan",25840,645
0500000US26007,26007,"Alpena County, Michigan",22776,772
0500000US26009,26009,"Antrim County, Michigan",28180,1232
0500000US26011,26011,"Arenac County, Michigan",21602,840
0500000US26013,26013,"Baraga County, Michigan",17664,1644
0500000US26015,26015,"Barry County, Michigan",25909,734
0500000US26017,26017,"Bay County, Michigan",24753,766
0500000US26019,26019,"Benzie County, Michigan",25506,1001
0500000US26021,26021,"Berrien County, Michigan",26309,540
0500000US26023,26023,"Branch County, Michigan",21838,623
0500000US26025,26025,"Calhoun County, Michigan",23812,466
0500000US26027,26027,"Cass County, Michigan",25955,874
0500000US26029,26029,"Charlevoix County, Michigan",29581,1474
0500000US26031,26031,"Cheboygan County, Michigan",24220,1275
0500000US26033,26033,"Chippewa County, Michigan",20839,706
0500000US26035,26035,"Clare County, Michigan",20418,868
0500000US26037,26037,"Clinton County, Michigan",31170,884
0500000US26039,26039,"Crawford County, Michigan",22348,1508
0500000US26041,26041,"Delta County, Michigan",24182,850
0500000US26043,26043,"Dickinson County, Michigan",25136,1533
0500000US26045,26045,"Eaton County, Michigan",28624,641
0500000US26047,26047,"Emmet County, Michigan",30250,1952
0500000US26049,26049,"Genesee County, Michigan",23755,328
0500000US26051,26051,"Gladwin County, Michigan",22255,902
0500000US26053,26053,"Gogebic County, Michigan",21464,1204
0500000US26055,26055,"Grand Traverse County, Michigan",30024,1109
0500000US26057,26057,"Gratiot County, Michigan",20358,718
0500000US26059,26059,"Hillsdale County, Michigan",22435,737
0500000US26061,26061,"Houghton County, Michigan",20248,659
0500000US26063,26063,"Huron County, Michigan",24455,651
0500000US26065,26065,"Ingham County, Michigan",26083,381
0500000US26067,26067,"Ionia County, Michigan",21526,458
