Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2012 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2012 inflation-adjusted dollars)
0500000US01001,1001,"Autauga County, Alabama",25253,861
0500000US01003,1003,"Baldwin County, Alabama",26769,599
0500000US01005,1005,"Barbour County, Alabama",16532,793
0500000US01007,1007,"Bibb County, Alabama",17611,1217
0500000US01009,1009,"Blount County, Alabama",21155,682
0500000US01011,1011,"Bullock County, Alabama",19822,2789
0500000US01013,1013,"Butler County, Alabama",17564,1013
0500000US01015,1015,"Calhoun County, Alabama",20881,535
0500000US01017,1017,"Chambers County, Alabama",18478,758
0500000US01019,1019,"Cherokee County, Alabama",22472,1377
0500000US01021,1021,"Chilton County, Alabama",21132,970
0500000US01023,1023,"Choctaw County, Alabama",19354,1328
0500000US01025,1025,"Clarke County, Alabama",19563,1432
0500000US01027,1027,"Clay County, Alabama",18136,1032
0500000US01029,1029,"Cleburne County, Alabama",19049,1170
0500000US01031,1031,"Coffee County, Alabama",23441,804
0500000US01033,1033,"Colbert County, Alabama",22186,798
0500000US01035,1035,"Conecuh County, Alabama",16648,2170
0500000US01037,1037,"Coosa County, Alabama",18855,1180
0500000US01039,1039,"Covington County, Alabama",20153,1056
0500000US01041,1041,"Crenshaw County, Alabama",21480,1799
0500000US01043,1043,"Cullman County, Alabama",20653,600
0500000US01045,1045,"Dale County, Alabama",22707,773
0500000US01047,1047,"Dallas County, Alabama",16907,885
0500000US01049,1049,"DeKalb County, Alabama",18494,925
0500000US01051,1051,"Elmore County, Alabama",24007,785
0500000US01053,1053,"Escambia County, Alabama",16294,609
0500000US01055,1055,"Etowah County, Alabama",20672,476
0500000US01057,1057,"Fayette County, Alabama",18675,1044
0500000US01059,1059,"Franklin County, Alabama",19282,1067
0500000US01061,1061,"Geneva County, Alabama",19393,1792
0500000US01063,1063,"Greene County, Alabama",15062,1860
0500000US01065,1065,"Hale County, Alabama",17210,1884
0500000US01067,1067,"Henry County, Alabama",20897,1117
0500000US01069,1069,"Houston County, Alabama",23375,402
0500000US01071,1071,"Jackson County, Alabama",20101,641
0500000US01073,1073,"Jefferson County, Alabama",26760,384
0500000US01075,1075,"Lamar County, Alabama",21410,3561
0500000US01077,1077,"Lauderdale County, Alabama",22833,523
0500000US01079,1079,"Lawrence County, Alabama",20315,808
0500000US01081,1081,"Lee County, Alabama",23162,680
0500000US01083,1083,"Limestone County, Alabama",24872,969
0500000US01085,1085,"Lowndes County, Alabama",17895,1416
0500000US01087,1087,"Macon County, Alabama",16402,791
0500000US01089,1089,"Madison County, Alabama",31367,545
0500000US01091,1091,"Marengo County, Alabama",20208,1606
0500000US01093,1093,"Marion County, Alabama",18610,998
0500000US01095,1095,"Marshall County, Alabama",20480,773
0500000US01097,1097,"Mobile County, Alabama",22581,388
0500000US01099,1099,"Monroe County, Alabama",16943,1140
0500000US01101,1101,"Montgomery County, Alabama",24765,595
0500000US01103,1103,"Morgan County, Alabama",23809,568
0500000US01105,1105,"Perry County, Alabama",14527,1418
0500000US01107,1107,"Pickens County, Alabama",17024,743
0500000US01109,1109,"Pike County, Alabama",19380,1000
0500000US01111,1111,"Randolph County, Alabama",19817,2112
0500000US01113,1113,"Russell County, Alabama",18792,698
0500000US01115,1115,"St. Clair County, Alabama",23144,938
0500000US01117,1117,"Shelby County, Alabama",34081,788
0500000US01119,1119,"Sumter County, Alabama",13951,1188
0500000US01121,1121,"Talladega County, Alabama",18744,642
0500000US01123,1123,"Tallapoosa County, Alabama",21609,1039
0500000US01125,1125,"Tuscaloosa County, Alabama",22487,572
0500000US01127,1127,"Walker County, Alabama",20689,845
0500000US01129,1129,"Washington County, Alabama",20797,1162
0500000US01131,1131,"Wilcox County, Alabama",13163,1121
0500000US01133,1133,"Winston County, Alabama",19099,1440
0500000US02013,2013,"Aleutians East Borough, Alaska",24932,2055
0500000US02016,2016,"Aleutians West Census Area, Alaska",32014,1761
0500000US02020,2020,"Anchorage Municipality, Alaska",36145,756
0500000US02050,2050,"Bethel Census Area, Alaska",19055,1167
0500000US02060,2060,"Bristol Bay Borough, Alaska",37150,4234
0500000US02068,2068,"Denali Borough, Alaska",38621,4979
0500000US02070,2070,"Dillingham Census Area, Alaska",22066,1521
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",32344,1093
0500000US02100,2100,"Haines Borough, Alaska",29141,4349
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",28288,2806
0500000US02110,2110,"Juneau City and Borough, Alaska",37917,1763
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",30789,999
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",30610,1588
0500000US02150,2150,"Kodiak Island Borough, Alaska",27865,1138
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",22087,2162
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",29465,660
0500000US02180,2180,"Nome Census Area, Alaska",19942,1029
0500000US02185,2185,"North Slope Borough, Alaska",41712,4189
0500000US02188,2188,"Northwest Arctic Borough, Alaska",21902,1857
0500000US02195,2195,"Petersburg Census Area, Alaska",31836,3194
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",25369,1445
0500000US02220,2220,"Sitka City and Borough, Alaska",32162,2055
0500000US02230,2230,"Skagway Municipality, Alaska",36470,5040
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",28833,2213
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",33094,2602
0500000US02270,2270,"Wade Hampton Census Area, Alaska",11380,540
0500000US02275,2275,"Wrangell City and Borough, Alaska",28267,2918
0500000US02282,2282,"Yakutat City and Borough, Alaska",39428,10439
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",20109,873
0500000US04001,4001,"Apache County, Arizona",12845,533
0500000US04003,4003,"Cochise County, Arizona",23330,672
0500000US04005,4005,"Coconino County, Arizona",22664,574
0500000US04007,4007,"Gila County, Arizona",20547,960
0500000US04009,4009,"Graham County, Arizona",16967,855
0500000US04011,4011,"Greenlee County, Arizona",20297,1250
0500000US04012,4012,"La Paz County, Arizona",21854,1541
0500000US04013,4013,"Maricopa County, Arizona",27552,197
0500000US04015,4015,"Mohave County, Arizona",20725,531
0500000US04017,4017,"Navajo County, Arizona",16884,816
0500000US04019,4019,"Pima County, Arizona",25525,301
0500000US04021,4021,"Pinal County, Arizona",20901,392
0500000US04023,4023,"Santa Cruz County, Arizona",17116,931
0500000US04025,4025,"Yavapai County, Arizona",26335,1171
0500000US04027,4027,"Yuma County, Arizona",18467,431
0500000US05001,5001,"Arkansas County, Arkansas",23570,1744
0500000US05003,5003,"Ashley County, Arkansas",20300,1408
0500000US05005,5005,"Baxter County, Arkansas",21409,992
0500000US05007,5007,"Benton County, Arkansas",26199,537
0500000US05009,5009,"Boone County, Arkansas",22333,1607
0500000US05011,5011,"Bradley County, Arkansas",19429,2424
0500000US05013,5013,"Calhoun County, Arkansas",17478,1372
0500000US05015,5015,"Carroll County, Arkansas",19964,1192
0500000US05017,5017,"Chicot County, Arkansas",15975,1425
0500000US05019,5019,"Clark County, Arkansas",18322,1063
0500000US05021,5021,"Clay County, Arkansas",18943,1298
0500000US05023,5023,"Cleburne County, Arkansas",22576,1396
0500000US05025,5025,"Cleveland County, Arkansas",20093,1724
0500000US05027,5027,"Columbia County, Arkansas",18999,825
0500000US05029,5029,"Conway County, Arkansas",19833,1200
0500000US05031,5031,"Craighead County, Arkansas",22806,794
0500000US05033,5033,"Crawford County, Arkansas",18737,499
0500000US05035,5035,"Crittenden County, Arkansas",19548,767
0500000US05037,5037,"Cross County, Arkansas",19282,972
0500000US05039,5039,"Dallas County, Arkansas",17056,1460
0500000US05041,5041,"Desha County, Arkansas",19107,2317
0500000US05043,5043,"Drew County, Arkansas",17790,1030
0500000US05045,5045,"Faulkner County, Arkansas",23763,697
0500000US05047,5047,"Franklin County, Arkansas",18694,1382
0500000US05049,5049,"Fulton County, Arkansas",18243,1357
0500000US05051,5051,"Garland County, Arkansas",23249,743
0500000US05053,5053,"Grant County, Arkansas",22190,1179
0500000US05055,5055,"Greene County, Arkansas",19415,915
0500000US05057,5057,"Hempstead County, Arkansas",17493,1080
0500000US05059,5059,"Hot Spring County, Arkansas",18344,678
0500000US05061,5061,"Howard County, Arkansas",18531,1610
0500000US05063,5063,"Independence County, Arkansas",19863,1134
0500000US05065,5065,"Izard County, Arkansas",17422,1052
0500000US05067,5067,"Jackson County, Arkansas",16095,1073
0500000US05069,5069,"Jefferson County, Arkansas",19300,700
0500000US05071,5071,"Johnson County, Arkansas",19422,1704
0500000US05073,5073,"Lafayette County, Arkansas",16865,1383
0500000US05075,5075,"Lawrence County, Arkansas",15243,726
0500000US05077,5077,"Lee County, Arkansas",12475,945
0500000US05079,5079,"Lincoln County, Arkansas",15161,1434
0500000US05081,5081,"Little River County, Arkansas",20081,1331
0500000US05083,5083,"Logan County, Arkansas",19587,1008
0500000US05085,5085,"Lonoke County, Arkansas",22791,566
0500000US05087,5087,"Madison County, Arkansas",17718,1478
0500000US05089,5089,"Marion County, Arkansas",18935,1456
0500000US05091,5091,"Miller County, Arkansas",19908,754
